"BLUP","Genotype"
8.38683104525722,"ld15_6762"
8.34153575759157,"a99_315026"
8.04677565786339,"ld15_5776793"
7.7316005852501,"u14_910097"
7.20068498215196,"ld11_2170"
7.13021776885979,"ld15_1628"
6.73169396000953,"k1563"
6.51120969888467,"u15_606207"
6.45659075029207,"sa12_1455"
6.26863362442441,"u98_307162"
6.24445108715812,"ld15_5789800"
6.20659627547098,"ia4005"
6.17892556213632,"u16_322148"
6.16277230764036,"lg00_6925"
6.13420808633924,"ar18_381009"
6.01737283858401,"u14_211209"
5.99967952720123,"u14_605217"
5.98179720892855,"u98_307917"
5.90156462743901,"sa13_1310"
5.89703674239381,"u97_3114"
5.88955916074779,"u97_3642"
5.88215339824539,"u96_2208"
5.8499754170465,"u16_127621"
5.71743158242593,"cl0j173_6"
5.67633196679733,"ln89_295"
5.66900299048794,"lg10_2688"
5.6597152872712,"u14_211226"
5.64950109710306,"u11_494100"
5.63423473193384,"u11_614119"
5.62959402044297,"a94_774021"
5.59020751479004,"u16_914101"
5.57401059486893,"lg09_7163"
5.54724629580578,"k1514"
5.54312859709295,"u02_210123"
5.51787525584839,"ld14_3702"
5.49051219034901,"a99_315020"
5.47694975616895,"a99_315011"
5.4343499987051,"hs1_3661"
5.40203828598345,"ld16_10159"
5.39359121838583,"orc_9707"
5.36739933922774,"u94_2306"
5.33365654711498,"ld08_8622"
5.27113590436489,"u15_322140"
5.25273313127055,"cr15_1369"
5.23936575828636,"u13_231286"
5.23001029100268,"a00_912026"
5.21807244073692,"c1832"
5.20276945885706,"lg00_3372"
5.19585300880982,"u99_046063"
5.18358664672723,"a97_871071"
5.17368114652994,"ld15_3174"
5.17319190208268,"a00_912029"
5.16466261477601,"u16_322178"
5.15894135403311,"ld15_5782791"
5.14546526365244,"u99_035014"
5.14342375964486,"ss94_10476"
5.13127478601095,"k1560"
5.12595744496315,"lg04_6005"
5.12523940241595,"u15_917133"
5.12431283430457,"lg09_8165"
5.09668334864713,"hm09_w150"
5.05312784873614,"hc85_164"
5.04354781599166,"a98_980047"
4.99698064697254,"u99_009019"
4.96701630430876,"u14_924158"
4.95701766204522,"ld07_3395bf"
4.94923700426635,"a98_980052"
4.94746663897568,"hc99_2846"
4.91007532923868,"u96_3103"
4.89228469503219,"u14_608170"
4.87469243272398,"ld04_13265"
4.8673547056601,"ld15_6275"
4.82676704813733,"ia3023"
4.8264702832694,"lg11_6214"
4.81943827789534,"u02_210318"
4.81880699334089,"ss01_3769"
4.8152699729747,"ln93_11632"
4.81116995314666,"c1843"
4.80027900968776,"ld14_1429"
4.79820705852765,"lg11_5120"
4.79706924190507,"ld10_10226"
4.7712408855873,"u91_3607"
4.76550193042534,"hs0_3246"
4.76191896220842,"hs89_5477"
4.74268324404104,"u02_300437"
4.74189916181606,"hs1_3886"
4.73915014844059,"ln89_334"
4.72435824902968,"sa13_1385"
